,name,lastrevid,ores_prediction
178,Thoma Orologa,1114419178,Start
179,Bedri Pejani,1080373501,C
180,Pertef Pogoni,1071576384,Stub
181,Kadri Prishtina,1114907355,Start
182,Ymer Prizreni,1114419180,Start
183,Avni Rustemi,1113688253,C
184,Chatin Sarachi,1089622596,C
185,Nebi Sefa,978173646,Stub
186,Eduard Shalsi,1090651886,Start
187,Ylli Vesel Shehu,1002857261,Stub
188,Athanas Shundi,1090001664,B
189,Xhelal Sveçla,1110419834,Start
190,Mehmet Tahsini,1089358942,Stub
191,Ibrahim Temo,1114899959,GA
192,Pavli Terka,1107079359,Start
193,Afrim Tole,1091240960,Stub
194,Sejfi Vllamasi,1073823015,Start
195,Syrja Vlora,1109383587,Start
196,Visarion Xhuvani,1115321286,C
197,Abdyl Ypi,1075914314,Stub
198,Xhezair Zaganjori,1106753028,Start
199,Menduh Zavalani,1071577719,GA
200,Said Abadou,1112193748,Stub
201,Tahar Allan,1059626268,Stub
202,Mohamed Seghir Babes,1079379844,Stub
203,Djelloul Baghli,1053461392,Stub
204,Noureddine Bahbouh,1099284595,Stub
205,Lamine Bechichi,1111537825,Stub
206,Bakhti Belaïb,1107713309,Stub
207,Mohamed Belouizdad,1102331624,Start
208,Mourad Benachenou,1091746754,Stub
209,Benaouda Hadj Hacène Bachterzi,1064464792,Stub
210,Souad Bendjaballah,1064463751,Stub
211,Mohammed Saleh Bendjelloul,1064459314,Stub
212,Mohamed Bensalam,1053464158,Stub
213,Said Boualam,1104123484,Start
214,Abdeslam Bouchouareb,1053459025,Stub
215,Brahim Chibout,1053460621,Stub
216,Bouras Djamel,1072064909,Stub
217,Ahmed Djebbar,1112131049,Stub
218,Fatiha Serour,1019766063,Start
219,Mohamed Hassaïne,1098798192,C
220,Ibrahim Boughali,1110540602,Stub
221,Abdenour Keramane,1028900906,Stub
222,Abelkader Khamri,1088927932,Stub
223,Mahmoud Khedri,1102198843,Stub
224,Mohamed Laïchoubi,1053469601,Stub
225,Sassi Lamouri,1053478920,Stub
226,Mohamed Maghlaoui,1053469610,Stub
227,Amar Makhloufi,1053459748,Stub
228,Hacen Mefti,1053461924,Stub
229,Mokhtar Meherzi,1028900891,Stub
230,Mohamed Elias Mesli,1009461580,Stub
231,Azzedine Mihoubi,1031600815,Start
232,Cherif Rahmani,1053461144,Stub
233,Naima Salhi,1113203380,Stub
234,Guillem d'Areny-Plandolit,1100710928,FA
235,Guillem Areny,1101200095,Stub
236,Joan Armengol,1105550472,Stub
237,Francesc Badia Batalla,1102180575,Stub
238,Josep Maria Beal,1104772844,Stub
239,Climent Palmitjavila,1102731108,Stub
240,Antoni Puigdellívol,1100253414,Start
241,Òscar Ribas Reig,1105529195,C
242,Boris Skossyreff,1114575861,GA
243,Enric Tarrado Vives,986671433,Stub
244,Alexandre Sebastião André,979043156,Stub
245,Isaac Maria dos Anjos,1087791055,Stub
246,Paulino Baptista,1098277989,Start
247,João Baptista Borges,1108136082,Start
248,Branca Manuel Espirito Santo,1082903108,Stub
249,André Luís Brandão,1092527809,Stub
250,André Gaspar Mendes de Carvalho,871672690,Stub
251,Carolina Cerqueira,1081277226,C
252,Arlete Chimbinda,1101656146,Start
253,Kafundanga Chingunji,1111470901,Stub
254,Jeremias Chitunda,1076646666,Start
255,Abel Chivukuvuku,987997249,Start
256,Adalberto Costa Júnior,1107102259,Stub
257,Adjany Costa,1081302172,Start
258,Álvaro Arnaldo Craveiro,1112653739,Stub
259,Raul Danda,1099408586,Stub
260,Carlos António Fernandes,1003396569,Stub
261,Fiel Domingos Constantino,1082902869,Stub
262,Abraão Gourgel,1080440646,Stub
263,Maria Monteiro Jardin,1095470855,Stub
264,José da Rocha,1094974511,Stub
265,Mateus de Brito Júnior,1054271575,Stub
266,Kambamba Kulaxingo,1093124425,Stub
267,Abel Xavier Nzuzi Lubota,1080325199,Stub
268,David Mendes,1024544204,Stub
269,Fernando Faustino Muteka,1079490106,Stub
270,José Ndele,1101583647,Stub
271,Daniel Ntongi-Nzinga,848334573,Stub
272,Pedro Tonho Pedale,1113903559,Stub
273,Elias Salupeto Pena,994023688,Stub
274,Pinda Simão,1093735313,Stub
275,Johnny Eduardo Pinnock,992923654,Stub
276,Santana André Pitra,886771177,Stub
277,José Aníbal Lopes Rocha,985054758,Stub
278,Luís Gomes Sambo,1114131425,Start
279,José Filomeno dos Santos,1111269228,Start
280,Jonas Savimbi,1110987217,C
281,Manuel Bernardo de Sousa,886461023,Stub
282,Augusto da Silva Tomás,1112407992,Stub
283,Luzia Inglês Van-Dúnem,1067323463,Start
284,Manuel Vicente,1106406859,C
285,Mfulupinga Nlando Victor,994085067,Start
286,Randolph Beazer,1094157275,Stub
287,Studiation Brown,825090349,Stub
288,Colin O'Neil Browne,1108425154,Stub
289,James Carlisle,1112658085,C
290,Gail Christian,1082380535,Start
291,Osbert Richard Frederick,1082381271,Start
292,William Haynes-Smith,1037116181,C
293,Tim Hector,1075044001,C
294,Cheryl Mary Clare Hurst,1082380270,Stub
295,Wilfred Jacobs,1110866224,Stub
296,Harold Lovell,1106157497,Start
297,John Lyons (Antiguan politician),1102523754,C
298,Edmond Mansoor,1106044619,Stub
299,Joanne Massiah,1095742971,Stub
300,Melford Walter Nicholas,1113392435,Start
301,Bernard Percival,1073473676,Stub
302,Alincia Williams-Grant,1080767913,Start
303,Joaquín Samuel de Anchorena,1096421201,Start
304,Juan Agustín Augier,989941326,Stub
305,Uladislao Augier,1083670137,Stub
306,Joaquín Belgrano,1033486500,Start
307,Antonio Bermejo,1111012579,Start
308,Antonio Beruti,1072761348,Start
309,Héctor Bidonde,1091652004,Start
310,Silvano Bores,1035890502,Stub
311,Pedro Braillard Poccard,1100848745,Stub
312,Exequiel Bustillo,1096179751,Stub
313,Mario Cafiero,1102185475,Stub
314,Alberto Manuel Campos,1073206939,Start
315,Alejo Castex,1096414709,C
316,Dámaso Centeno,1096183091,Stub
317,Carlos Corach,1068148753,Stub
318,Jorge Coscia,1099409991,Stub
319,Juan Carlos Del Bello,1100037128,Stub
320,Luis L. Domínguez,1089356576,C
321,Máximo Etchecopar,1115155777,Start
322,Héctor Toty Flores,1067754685,Stub
323,Juan Fugl,1073206214,Stub
324,Santiago Gallo,1039135531,Start
325,Manuel José García,1007128573,Stub
326,Juan José Gómez Centurión,1110844685,Stub
327,Luis Carlos Gómez Centurión,1040878894,Stub
328,Martín Guzmán,1111128923,C
329,Federico Helguera,1066754349,Start
330,Fernando Iglesias (Argentine politician),1093400021,C
331,Ricardo Kennedy,1096426574,Stub
332,Carlos Kunkel,1005790906,Stub
333,Norberto La Porta,721029407,Stub
334,Andrés Larroque,1060504858,Start
335,Julián de Leyva,959654287,Stub
336,Mónica López (politician),797826672,Stub
337,Lucio Victorio Mansilla,1086339086,Start
338,Nicolás Massot,1069153148,Start
339,Juan Mignaburu,994878410,Stub
340,Guillermo Montenegro,1096175549,Stub
341,Mariano Moreno,1113829451,B
342,Marcelo Muniagurria,1108926646,Stub
343,Fernando Nadra,1105357958,C
344,Rómulo Sebastián Naón,1096261399,Start
345,Santiago G. O'Farrell,1096261487,Start
346,Miguel Ángel Pesce,1096459313,Start
347,Carlos Petroni,1100374393,C
348,Alejo Peyret,1091481103,B
349,Aldo Pignanelli,1106856167,Stub
350,Enrique S. Quintana,1016343362,Start
351,Amán Rawson,1096678788,Start
352,Martín Sabbatella,1073202733,C
353,Juan Pablo Schiavi,1069152180,C
354,Héctor Tizón,1096176230,Start
355,Claudio Uberti,1032047313,C
356,Arístides Villanueva,994807413,Start
357,Artashes Abeghyan,1088583026,Start
358,Aram Achekbashian,1046857776,Stub
359,Hovsep Arghutian,1095822812,Start
360,Mikael Atabekyan,1008108682,Stub
361,Tigran Bekzadyan,1027604306,Stub
362,Vigen Chitechyan,1099308421,Stub
363,Hayk Chobanyan,1093711595,Start
364,Daniel-Bek of Sassun,1114419837,Start
365,Gurgen Egiazaryan,1103745376,Start
366,Parunak Ferukhan,1114420012,Stub
367,Hambardzum Galstyan,1084735335,Start
368,Gegham Gharibjanian,1048485720,C
369,Gevorg Ghazaryan (politician),1082547991,Stub
370,Andrias Ghukasyan,1108345283,Start
371,Aram Grigoryan,1112117000,Stub
372,Armen Grigoryan (politician),1069944070,C
373,Hayk Grigoryan,1090623549,Start
374,Grigor Jaghetyan,1062820993,Stub
375,Tigran Karapetyan,1112833785,Stub
376,Khachatur-Bek of Mush,1114420639,Stub
377,Aram Kocharyan,1107982644,Stub
378,Davit Lokyan,1089241404,Start
379,Khachatur Malumian,1114420669,Start
380,Aram Manukyan,1048512708,Start
381,Gevorg Melik-Karagyozyan,980519720,Stub
382,Vahan Minakhoryan,1055697655,Stub
383,Ruben Mirzakhanyan,1084737845,Start
384,Badal Muradyan,1090630537,Start
385,Gabriel Noradunkyan,1114426086,C
386,Suren Papikyan,1112772824,Start
387,Paul Paul,1114420707,Start
388,Garo Paylan,1104655518,C
389,Genrikh Poghosyan,1085393392,Start
390,Ishkhan Saghatelyan,1107169295,GA
391,Martiros Sarukhanyan,933482772,Stub
392,Vartkes Serengülian,1114426992,Start
393,Serop Zakaryan,1057547947,Stub
394,Servitchen,1114420738,Stub
395,Suren Shadunts,1109564586,Start
396,Kasbar Sinabian,1114426546,Stub
397,Ohannes Tchekidjian,1090861179,Start
398,Hrayr Tovmasyan,993785842,Stub
399,Usuv Beg,1086955149,Stub
400,Kegham Vanigian,1114420793,Start
401,Artak Zeynalyan,1097086972,Start
402,Alfons Adam,1103541474,Start
403,Ingo Appelt,997950968,Stub
404,Baron Alexander von Bach,1114355363,C
405,"Maximilian Anton Karl, Count Baillet de Latour",1112473939,Start
406,Heinrich Alfred Barb,1092809567,Start
407,Raphael Basch,1023595642,Start
408,Leopold Berchtold,1089443270,C
409,Hanns Blaschke,1112474283,Stub
410,Andreas Bolek,1005030653,Start
411,Joseph Buttinger,1080982386,Start
412,Prince Carl of Solms-Braunfels,1107215721,C
413,Citizens' Ministry,1071736555,C
414,Richard von Coudenhove-Kalergi,1108787206,C
415,Karl von Czyhlarz,1021127705,Stub
416,George Abraham von Dyhrn,1007538469,Stub
417,Hans Ferlitsch,941916920,Stub
418,Friedhelm Frischenschlager,1018809630,Start
419,Anton Füster,1078570802,Start
420,Julius Anton Glaser,1112473750,C
421,Walter Guggenberger,1112473762,Start
422,Ulrich Habsburg-Lothringen,1112474612,Stub
423,Ernst Hampel (politician),1069436586,Stub
424,Franz von Hartig,1007537619,Stub
425,Hans Peter Haselsteiner,1112603346,Start
426,Friedrich Wilhelm von Haugwitz,1112275892,C
427,Eduard Herbst,1007530580,Start
428,Hermann Stern,1101206070,C
429,Jürgen Himmelbauer,969146003,Stub
430,Anton Hofer,1105446235,Start
431,Andreas Hörtnagl,969145984,Stub
432,Franz Jetzinger,1086163096,Start
433,Hugo Jury,1050014678,C
434,Joseph Kenner,1112603390,Start
435,Theodor Kery,1065573627,Stub
436,Michael Killisch-Horn,1106829544,Stub
437,Hubert Klausner,1111898436,Start
438,Martin Kocher,1088269446,Stub
439,Józef Kożdoń,1112603867,C
440,Hans Kudlich,1048166289,Start
441,Gottfried von Kühnelt-Leddihn,1068422030,Start
442,Hartmann Lauterbacher,1070877897,C
443,Otto Lecher,1033894166,Stub
444,Franz Leitner (politician),1010887552,Stub
445,Elmar Lichtenegger,1058620648,Start
446,Julius Lippert (historian),1084061853,Stub
447,Karl Lütgendorf,1112474529,Stub
448,Jürgen Mandl,977059921,Stub
449,Renate Mann,1099978355,Stub
450,Ferdinand Mannlicher,1104118829,C
451,Christoph Matznetter,1105484317,Start
452,Johann Gregor Memhardt,1112474313,Stub
453,Franz Moroder,1090940019,Start
454,Heinz Nittel,1109478769,Stub
455,Brigitta Pallauf,1033512296,Start
456,Wladimir von Pawlowski,1019694668,Stub
457,Johann Anton von Pergen,1061803495,C
458,Gerhard Pfanzelter,1106125275,Start
459,Walter Pfrimer,1113533881,B
460,Ernst von Plener,1017745075,Start
461,Leopold Poetsch,1092446707,Stub
462,Thomas Prinzhorn,1112474168,C
463,Hermann von Ramberg,994058910,Stub
464,Heinrich Reschauer,1083947896,Start
465,Horst Rosenkranz,1112603574,Start
466,Emil Sax,1007521446,Start
467,Karl Schmitzer,1089049732,Stub
468,Georg Ritter von Schönerer,1114549144,C
469,"Georg Adam, Prince of Starhemberg",1102889087,C
470,Gundaker Thomas Starhemberg,1078907075,Start
471,Josef Staribacher,1049705609,Stub
472,Richard Steidle,1112576338,C
473,Julius Tandler,1077100690,Start
474,Muzio Tommasini,1093955134,Start
475,Karl Freiherr von Vogelsang,1016446506,Start
476,Max Winter (politician),1112474387,Stub
477,Anton von Winzor,1045934334,Stub
478,Gisela Wurm,1038160173,Stub
479,Alexander Zach,1056085498,Stub
480,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495,Start
481,Karl von Zinzendorf,1112603523,Start
482,Muzamil Abdullayev,1107065506,Stub
483,Leyla Abdullayeva,1102138152,Start
484,Elchin Afandiyev,1075526613,Start
485,Fazail Agamali,1106843986,C
486,Fuad Alasgarov,1018398706,C
487,Anvar Alikhanov,1109309028,Stub
488,Tarlan Aliyarbayov,1112064160,GA
489,Dilara Aliyeva,1109649588,Start
490,Ali Asadov,1112134949,Start
491,Akram Aylisli,1106344373,C
492,Sahil Babayev,1112800095,Start
493,Huseyngulu Baghirov,1080007779,Start
494,Alovsat Bakhshiyev,1090036474,Start
495,Rafael Kamil Dzhabrailov,1100266382,Stub
496,Matin Eynullayev,1110146340,Start
497,Vilayat Eyvazov,1109686454,Start
498,Abdurrahman Fatalibeyli,1094730548,C
499,Fazail Ibrahimli,1096310851,Stub
500,Solomon Grobshtein,1067081975,Stub
501,Teymur Guliyev,1025325196,Stub
502,Mammad Gurbanov,1101536288,Start
503,Asaf Hajiyev,1114198988,C
504,Farhad Hajiyev,1109686109,Start
505,Jamil Hasanli,1091283791,C
506,Ali M. Hasanov,1104973679,C
507,Shakir Hasanov,1096145690,Stub
508,Zakir Hasanov,1110113628,C
509,Ali Huseynli,1090157253,Start
510,Alisahib Huseynov,1080007304,Start
511,Ali Ibrahimov,1067793317,Stub
512,Mammad Isgandarov,1029087103,Stub
513,Vidadi Isgandarov,1092547948,Start
514,Ajdar Ismailov,1096490381,C
515,Saftar Jafarov,1045812028,Start
516,Rovshan Javadov,1108873335,C
517,Anar Karimov,1109685880,Start
518,Boris Kevorkov,1072772142,Start
519,Gurban Khalilov,1094981152,Start
520,Ahmad Kordary,1093750341,Stub
521,Ilham Madatov,1011331249,Start
522,Musa Mammadov,1084134498,Start
523,Ramin Mammadov,1020887005,Start
524,Elshad Mirbashir oghlu,1084157904,C
525,Fuad Naghiyev,1081854289,Start
526,Eldar Namazov,1087483504,Start
527,Siyavush Novruzov,1114475460,Start
528,Sadig Rahimov,1074822020,C
529,Suleyman Rahimov,1096039626,C
530,Huseyn Rahmanov,1106104383,Stub
531,Hasan Sayidov,1025325260,Stub
532,Parviz Shahbazov,1105103095,Start
533,Mammad agha Shahtakhtinski,1080672703,C
534,Abid Sharifov,1096574448,Start
535,Bakhtiyar Vahabzadeh,1114287934,C
536,Elmir Valiyev,1074732244,Start
537,Nurali Yusifbayli,1019924574,Start
538,Harold Christie,1083155826,Start
539,Timothy Donaldson,1109457989,C
540,Joseph Robert Love,1084382477,C
541,Mohammed Isa Al Abbasi,1021088682,Stub
542,Abdullah bin Isa Al Khalifa,1011511102,Stub
543,Ahmed Behzad (Bahrain),1063482737,Stub
544,Kamal Ahmed (politician),1010461395,Stub
545,Mohamed Ali Hasan Ali,1006173162,Stub
546,Khalid Almoayed,1063486161,Stub
547,Aymen Tawfeeq Almoayed,1109935820,Start
548,Nazar Al Baharna,1067620253,Start
549,Mahmood Al Bahrani,1096789330,Stub
550,Ammar Al Bannai,1089564533,Start
551,Jawad Fairooz,1088485834,Start
552,Qasim Fakhro,1099067663,Start
553,Faisal al-Hamar,1068897458,Stub
554,Nabeel bin Yaqub Al-Hamar,1096789114,Stub
555,Isa bin Abdulrahman Al Hammadi,1098344827,Stub
556,Jameel Humadan,1003695133,Start
557,Isa bin Ibrahim Al Khalifa,1033132904,Stub
558,Fahmi al-Jowder,1068744646,Stub
559,Saud Kanoo,1098699647,Stub
560,Essam Khalaf,1006167519,Stub
561,Abdullah bin Hamad bin Isa Al Khalifa,1099004905,Start
562,Ibrahim ibn Khalifa Al Khalifa,1107463771,Start
563,Mai bint Mohammed Al Khalifa,1085733309,Start
564,Khallfa bin Duaij Al Khalifa,1022106863,Stub
565,Hamad Al Kooheji,1096789043,Stub
566,Abdullatif Al-Mahmood,1072499529,Stub
567,Khalid Al Maskati,1096789192,Stub
568,Abdulhussain bin Ali Mirza,1106388662,Stub
569,Mohammed Al-Buainain,1063213013,Start
570,Mohammed bin Khalifa bin Ahmed,1087144216,C
571,Mohammed bin Khalifa bin Ali Al Khalifa,1096789150,Start
572,Abdulrahman al-Nuaimi,1066056398,Start
573,Ammar Qambar,1086832849,Start
574,Isa Qassim,1100527312,C
575,Ahmed Al-Salloum,1108146191,Start
576,Salman bin Hamad Al Khalifa,1109869774,C
577,Oli Ahad,1076894174,Start
578,Farid Ahmed,1066581020,Stub
579,Muzaffar Ahmed (NAP politician),1109740890,Start
580,AKM Hafizuddin,1082571647,Start
581,Mohammad Manjur Alam,1099697606,Start
582,Aftab Ali,1111168357,C
583,M Hossain Ali,1081670946,Start
584,Selina Banu,1059919387,Start
585,Nurul Huq Bhuiyan,1087353972,Stub
586,Bishnu Chattopadhyay,1108066856,Start
587,AKM Fazlul Kabir Chowdhury,1115026757,Start
588,Aminul Islam Chowdhury,1068738297,Stub
589,Anwarul Karim Chowdhury,1097570502,C
590,Sarwar Jan Chowdhury,1052088875,Stub
591,Shahinur Pasha Chowdhury,1102455717,Start
592,Yusuf Ali Chowdhury,1098197979,Start
593,Haji Mohammad Danesh,1090578062,C
594,Pulin De,1038607348,Start
595,James Leo Ferguson,1098196717,C
596,Abdul Halim Ghaznavi,1112056773,Start
597,Debendra Nath Ghosh,1110092316,Stub
598,Ranesh Das Gupta,1038609480,Start
599,AKM Fazlul Haque (Bangladeshi politician),1069141674,Stub
600,Abul Hashim,1067903741,C
601,Syed Najmuddin Hashim,1076061150,Start
602,M. Anwar Hossain,1049654323,C
603,Nozir Hossain,1085128926,Start
604,Syed Muhammad Ibrahim,1113135652,Start
605,Abul Kashem,1094440759,C
606,Abul Kashem Khan,1097883330,C
607,Hatem Ali Khan,1085849741,Start
608,Muhammad Hamidullah Khan,1112460308,C
609,Yar Mohammad Khan,1113198175,C
610,Jyotirindra Bodhipriya Larma,1106007965,Stub
611,Manik Lal Ray,1110874529,Stub
612,Mushrefa Mishu,1066093324,Start
613,Fazlul Haque Montu,1107037359,Stub
614,Mujahidul Islam Selim,1111837585,Stub
615,SM Nuruzzaman,1068356533,Stub
616,Shamsul Huda Panchbagi,1100820734,B
617,Muhammad Bayazeed Khan Panni,1112344051,C
618,Ferdous Ahmed Qureshi,1104814058,Start
619,Abdur Rahim (scholar),1112109734,C
620,Habibar Rahman,1045893159,Stub
621,M. M. Rahmatullah,1107693597,C
622,Golam Maula Rony,1113507548,Start
623,Devasish Roy,1112033318,Start
624,Maulana Shakhawat,1067136662,Stub
625,Zahidunnabi Dewan Shamim,1093749046,Start
626,Abul Kalam Shamsuddin,1038585660,Start
627,Badruddoza Ahmed Shuja,1047850212,Stub
628,Mohammad Sultan,1038605974,Start
629,Badruddin Umar,1111762930,C
630,Elliott Belgrave,1110292983,Start
631,Chad Blackman,1113735930,Start
632,Santia Bradshaw,1097963495,Start
633,Sonia Browne,1080633319,Stub
634,Michael A. Carrington,1090468579,Start
635,William Fondleroy Duguid,1086556181,Start
636,Reginald Farley,1090706976,Stub
637,Adrian Forde,1079840895,Stub
638,Cynthia Y. Forde,1106579042,Start
639,Ian Gooding-Edghill,1079872008,Stub
640,Damien K. A. Griffith,996491794,Stub
641,Crystal Haynes,1080792345,Stub
642,Hallam Henry (diplomat),1096826466,Stub
